container,mem_mb,cpu_pct,sample
monolith-app,827.5,0.80,1
monolith-db,67.4,1.77,1
monolith-redis,18.0,0.75,1
monolith-app,827.5,1.31,2
monolith-db,67.5,0.02,2
monolith-redis,18.0,0.55,2
monolith-app,827.5,0.85,3
monolith-db,67.4,0.02,3
monolith-redis,18.0,0.81,3
monolith-app,827.5,0.79,4
monolith-db,67.4,0.00,4
monolith-redis,17.8,0.79,4
monolith-app,827.5,0.68,5
monolith-db,67.4,0.00,5
monolith-redis,18.0,0.74,5
monolith-app,827.5,0.64,6
monolith-db,67.6,1.72,6
monolith-redis,17.8,0.74,6
monolith-app,827.5,0.63,7
monolith-db,67.4,0.00,7
monolith-redis,18.3,0.72,7
monolith-app,827.5,0.65,8
monolith-db,67.4,0.00,8
monolith-redis,18.0,0.77,8
monolith-app,827.5,0.59,9
monolith-db,67.5,0.00,9
monolith-redis,17.8,0.69,9
monolith-app,827.5,0.62,10
monolith-db,67.4,0.00,10
monolith-redis,17.8,0.68,10
monolith-app,827.5,0.73,11
monolith-db,67.4,1.74,11
monolith-redis,17.8,0.65,11
monolith-app,827.5,0.62,12
monolith-db,67.5,0.00,12
monolith-redis,17.8,0.85,12
monolith-app,827.5,0.66,13
monolith-db,67.5,0.00,13
monolith-redis,17.8,0.78,13
monolith-app,827.5,0.60,14
monolith-db,67.4,1.62,14
monolith-redis,18.0,0.66,14
monolith-app,827.5,0.65,15
monolith-db,67.4,0.00,15
monolith-redis,18.0,0.81,15
monolith-app,827.5,0.64,16
monolith-db,67.6,0.00,16
monolith-redis,18.0,0.74,16
monolith-app,827.5,0.62,17
monolith-db,67.4,0.02,17
monolith-redis,18.0,0.86,17
monolith-app,827.5,0.65,18
monolith-db,67.4,0.01,18
monolith-redis,17.8,0.75,18
monolith-app,827.5,1.50,19
monolith-db,67.4,0.00,19
monolith-redis,17.8,0.73,19
monolith-app,827.5,0.65,20
monolith-db,67.4,0.00,20
monolith-redis,18.0,0.74,20
monolith-app,827.5,0.57,21
monolith-db,67.4,0.00,21
monolith-redis,17.8,0.83,21
monolith-app,827.5,0.68,22
monolith-db,67.4,0.00,22
monolith-redis,17.8,0.76,22
monolith-app,827.5,0.74,23
monolith-db,67.4,0.01,23
monolith-redis,17.8,0.76,23
monolith-app,827.5,0.62,24
monolith-db,67.4,1.62,24
monolith-redis,18.3,0.81,24
