container,mem_mb,cpu_pct,sample
monolith-app,827.5,0.68,1
monolith-db,67.1,0.18,1
monolith-redis,18.3,0.77,1
monolith-app,827.5,1.04,2
monolith-db,67.5,0.70,2
monolith-redis,17.8,0.76,2
monolith-app,827.5,0.74,3
monolith-db,67.8,1.69,3
monolith-redis,18.0,0.83,3
monolith-app,827.5,0.64,4
monolith-db,67.4,0.02,4
monolith-redis,18.0,0.93,4
monolith-app,827.5,0.75,5
monolith-db,67.4,0.00,5
monolith-redis,17.8,0.78,5
monolith-app,827.5,0.62,6
monolith-db,67.9,1.66,6
monolith-redis,18.3,0.72,6
monolith-app,827.8,0.77,7
monolith-db,67.4,0.00,7
monolith-redis,17.8,0.95,7
monolith-app,827.5,0.82,8
monolith-db,67.8,1.77,8
monolith-redis,17.8,0.69,8
monolith-app,827.5,0.58,9
monolith-db,67.4,0.00,9
monolith-redis,18.3,0.74,9
monolith-app,827.5,0.72,10
monolith-db,67.4,0.00,10
monolith-redis,18.0,0.88,10
monolith-app,827.5,0.66,11
monolith-db,67.6,1.60,11
monolith-redis,17.8,0.78,11
monolith-app,827.5,0.61,12
monolith-db,67.4,0.00,12
monolith-redis,17.8,0.59,12
monolith-app,827.5,0.59,13
monolith-db,67.5,0.00,13
monolith-redis,17.8,0.85,13
monolith-app,827.5,0.62,14
monolith-db,67.5,1.67,14
monolith-redis,18.0,0.79,14
monolith-app,827.5,0.60,15
monolith-db,67.4,0.00,15
monolith-redis,17.8,0.71,15
monolith-app,827.5,0.63,16
monolith-db,67.4,0.01,16
monolith-redis,18.0,0.88,16
monolith-app,827.5,0.70,17
monolith-db,67.6,1.76,17
monolith-redis,18.3,0.85,17
monolith-app,827.5,0.60,18
monolith-db,67.4,0.00,18
monolith-redis,17.8,0.71,18
monolith-app,827.5,0.62,19
monolith-db,67.8,1.72,19
monolith-redis,17.8,0.73,19
monolith-app,827.5,0.69,20
monolith-db,67.4,0.00,20
monolith-redis,18.0,0.89,20
monolith-app,827.5,0.66,21
monolith-db,67.4,0.00,21
monolith-redis,17.8,0.82,21
monolith-app,827.5,0.59,22
monolith-db,67.4,1.59,22
monolith-redis,17.8,0.72,22
monolith-app,827.5,0.69,23
monolith-db,67.4,0.00,23
monolith-redis,18.0,0.80,23
monolith-app,827.5,0.80,24
monolith-db,67.4,0.00,24
monolith-redis,17.8,0.84,24
