container,mem_mb,cpu_pct,sample
xcommerce-gateway,458.1,0.07,1
xcommerce-kafdrop,388.8,0.13,1
xcommerce-order-service,426.8,0.24,1
xcommerce-identity-service,398.6,0.13,1
xcommerce-inventory-service,379.5,2.11,1
xcommerce-notification-service,374.6,0.40,1
xcommerce-catalog-service,421.9,0.07,1
xcommerce-cart-service,423.9,0.68,1
xcommerce-grafana,261.0,1.09,1
xcommerce-kafka,876.7,1.69,1
xcommerce-db-inventory,46.4,1.31,1
xcommerce-db-orders,127.1,1.41,1
xcommerce-db-catalog,44.6,1.41,1
xcommerce-db-identity,42.1,1.37,1
xcommerce-db-notification,45.0,1.40,1
xcommerce-db-cart,44.9,1.40,1
xcommerce-prometheus,89.6,0.17,1
xcommerce-jaeger,2.5,0.08,1
xcommerce-zookeeper,138.7,0.23,1
xcommerce-gateway,458.1,0.83,2
xcommerce-kafdrop,388.8,0.13,2
xcommerce-order-service,426.8,0.21,2
xcommerce-identity-service,398.6,0.24,2
xcommerce-inventory-service,379.0,0.70,2
xcommerce-notification-service,374.6,0.76,2
xcommerce-catalog-service,421.9,0.10,2
xcommerce-cart-service,423.9,0.08,2
xcommerce-grafana,261.0,0.86,2
xcommerce-kafka,877.0,1.71,2
xcommerce-db-inventory,46.4,0.01,2
xcommerce-db-orders,127.1,0.00,2
xcommerce-db-catalog,44.6,0.01,2
xcommerce-db-identity,42.1,0.00,2
xcommerce-db-notification,45.0,0.02,2
xcommerce-db-cart,44.9,0.00,2
xcommerce-prometheus,89.6,0.17,2
xcommerce-jaeger,2.5,0.13,2
xcommerce-zookeeper,138.7,0.18,2
xcommerce-gateway,458.1,0.05,3
xcommerce-kafdrop,388.8,0.13,3
xcommerce-order-service,426.8,0.31,3
xcommerce-identity-service,398.6,0.08,3
xcommerce-inventory-service,379.0,1.17,3
xcommerce-notification-service,374.6,1.23,3
xcommerce-catalog-service,421.9,0.90,3
xcommerce-cart-service,423.9,0.76,3
xcommerce-grafana,261.0,0.80,3
xcommerce-kafka,876.8,1.76,3
xcommerce-db-inventory,46.4,0.00,3
xcommerce-db-orders,127.1,0.00,3
xcommerce-db-catalog,44.6,0.01,3
xcommerce-db-identity,42.1,0.00,3
xcommerce-db-notification,45.0,0.00,3
xcommerce-db-cart,44.9,0.00,3
xcommerce-prometheus,89.6,0.92,3
xcommerce-jaeger,2.5,0.34,3
xcommerce-zookeeper,138.7,0.25,3
xcommerce-gateway,458.1,0.78,4
xcommerce-kafdrop,388.8,0.15,4
xcommerce-order-service,426.8,0.24,4
xcommerce-identity-service,398.6,0.53,4
xcommerce-inventory-service,379.0,0.65,4
xcommerce-notification-service,374.6,0.91,4
xcommerce-catalog-service,421.9,0.06,4
xcommerce-cart-service,423.9,0.12,4
xcommerce-grafana,261.0,0.80,4
xcommerce-kafka,876.8,1.61,4
xcommerce-db-inventory,46.4,0.00,4
xcommerce-db-orders,127.1,0.00,4
xcommerce-db-catalog,44.6,0.00,4
xcommerce-db-identity,42.1,0.00,4
xcommerce-db-notification,45.0,0.00,4
xcommerce-db-cart,44.9,0.02,4
xcommerce-prometheus,89.6,0.24,4
xcommerce-jaeger,2.5,0.31,4
xcommerce-zookeeper,138.7,0.16,4
xcommerce-gateway,458.1,0.25,5
xcommerce-kafdrop,388.8,0.12,5
xcommerce-order-service,426.8,0.22,5
xcommerce-identity-service,398.6,0.82,5
xcommerce-inventory-service,379.0,3.69,5
xcommerce-notification-service,374.6,0.79,5
xcommerce-catalog-service,421.9,0.10,5
xcommerce-cart-service,423.9,0.18,5
xcommerce-grafana,261.0,0.95,5
xcommerce-kafka,877.0,2.32,5
xcommerce-db-inventory,46.4,0.01,5
xcommerce-db-orders,127.1,0.00,5
xcommerce-db-catalog,44.6,0.00,5
xcommerce-db-identity,42.1,0.00,5
xcommerce-db-notification,45.0,0.01,5
xcommerce-db-cart,44.9,0.00,5
xcommerce-prometheus,89.6,0.47,5
xcommerce-jaeger,2.5,0.10,5
xcommerce-zookeeper,138.7,0.29,5
xcommerce-gateway,458.1,0.28,6
xcommerce-kafdrop,388.8,0.17,6
xcommerce-order-service,426.8,0.52,6
xcommerce-identity-service,398.6,0.10,6
xcommerce-inventory-service,379.3,1.41,6
xcommerce-notification-service,374.6,0.46,6
xcommerce-catalog-service,421.9,0.09,6
xcommerce-cart-service,423.9,0.09,6
xcommerce-grafana,261.0,0.85,6
xcommerce-kafka,876.8,1.90,6
xcommerce-db-inventory,46.4,0.00,6
xcommerce-db-orders,127.1,0.01,6
xcommerce-db-catalog,44.6,0.01,6
xcommerce-db-identity,42.1,0.00,6
xcommerce-db-notification,45.0,0.01,6
xcommerce-db-cart,44.9,0.01,6
xcommerce-prometheus,89.6,0.00,6
xcommerce-jaeger,2.5,0.01,6
xcommerce-zookeeper,138.7,0.20,6
xcommerce-gateway,458.1,1.58,7
xcommerce-kafdrop,388.8,0.11,7
xcommerce-order-service,426.8,0.14,7
xcommerce-identity-service,398.6,0.81,7
xcommerce-inventory-service,379.1,2.58,7
xcommerce-notification-service,374.6,0.48,7
xcommerce-catalog-service,421.9,0.08,7
xcommerce-cart-service,423.9,0.11,7
xcommerce-grafana,261.0,0.77,7
xcommerce-kafka,876.8,1.71,7
xcommerce-db-inventory,46.4,0.02,7
xcommerce-db-orders,127.1,0.00,7
xcommerce-db-catalog,44.6,0.00,7
xcommerce-db-identity,42.1,0.00,7
xcommerce-db-notification,45.0,0.00,7
xcommerce-db-cart,44.9,0.00,7
xcommerce-prometheus,89.6,0.24,7
xcommerce-jaeger,2.5,0.02,7
xcommerce-zookeeper,138.7,0.23,7
xcommerce-gateway,458.1,0.08,8
xcommerce-kafdrop,388.8,0.15,8
xcommerce-order-service,426.8,0.23,8
xcommerce-identity-service,398.6,0.13,8
xcommerce-inventory-service,379.1,1.04,8
xcommerce-notification-service,374.6,0.47,8
xcommerce-catalog-service,421.9,0.17,8
xcommerce-cart-service,423.9,0.56,8
xcommerce-grafana,261.0,0.96,8
xcommerce-kafka,876.8,1.94,8
xcommerce-db-inventory,46.4,1.36,8
xcommerce-db-orders,127.1,1.35,8
xcommerce-db-catalog,44.6,1.37,8
xcommerce-db-identity,42.1,1.38,8
xcommerce-db-notification,45.0,1.28,8
xcommerce-db-cart,44.9,1.35,8
xcommerce-prometheus,89.6,0.14,8
xcommerce-jaeger,2.5,0.10,8
xcommerce-zookeeper,138.7,0.30,8
xcommerce-gateway,458.1,0.87,9
xcommerce-kafdrop,388.8,0.14,9
xcommerce-order-service,426.8,0.26,9
xcommerce-identity-service,398.6,0.39,9
xcommerce-inventory-service,379.2,2.53,9
xcommerce-notification-service,374.6,0.63,9
xcommerce-catalog-service,421.9,0.06,9
xcommerce-cart-service,423.9,0.07,9
xcommerce-grafana,261.0,0.83,9
xcommerce-kafka,876.8,1.53,9
xcommerce-db-inventory,46.4,0.00,9
xcommerce-db-orders,127.1,0.00,9
