container,mem_mb,cpu_pct,sample
xcommerce-db-catalog,44.6,0.00,9
xcommerce-db-identity,42.1,0.00,9
xcommerce-db-notification,45.0,0.00,9
xcommerce-db-cart,44.9,0.00,9
xcommerce-prometheus,89.6,0.19,9
xcommerce-jaeger,2.5,0.26,9
xcommerce-zookeeper,138.7,0.39,9
xcommerce-gateway,458.1,0.07,10
xcommerce-kafdrop,388.8,0.11,10
xcommerce-order-service,426.8,0.30,10
xcommerce-identity-service,398.6,0.20,10
xcommerce-inventory-service,379.3,1.08,10
xcommerce-notification-service,374.6,1.38,10
xcommerce-catalog-service,421.9,1.74,10
xcommerce-cart-service,424.2,0.73,10
xcommerce-grafana,261.0,0.68,10
xcommerce-kafka,876.8,1.40,10
xcommerce-db-inventory,46.4,0.00,10
xcommerce-db-orders,127.1,0.00,10
xcommerce-db-catalog,44.6,0.00,10
xcommerce-db-identity,42.1,0.03,10
xcommerce-db-notification,45.0,0.00,10
xcommerce-db-cart,44.9,0.00,10
xcommerce-prometheus,89.6,0.60,10
xcommerce-jaeger,2.5,0.41,10
xcommerce-zookeeper,138.7,0.11,10
xcommerce-gateway,458.1,0.75,11
xcommerce-kafdrop,388.8,0.13,11
xcommerce-order-service,426.8,0.31,11
xcommerce-identity-service,398.6,0.53,11
xcommerce-inventory-service,379.3,0.75,11
xcommerce-notification-service,374.6,0.90,11
xcommerce-catalog-service,421.9,0.08,11
xcommerce-cart-service,423.9,0.15,11
xcommerce-grafana,261.0,0.76,11
xcommerce-kafka,876.8,1.83,11
xcommerce-db-inventory,46.4,0.00,11
xcommerce-db-orders,127.1,0.03,11
xcommerce-db-catalog,44.6,0.00,11
xcommerce-db-identity,42.1,0.00,11
xcommerce-db-notification,45.0,0.00,11
xcommerce-db-cart,44.9,0.00,11
xcommerce-prometheus,89.6,0.15,11
xcommerce-jaeger,2.5,0.23,11
xcommerce-zookeeper,138.7,0.17,11
xcommerce-gateway,458.1,0.26,12
xcommerce-kafdrop,388.8,0.24,12
xcommerce-order-service,426.8,0.28,12
xcommerce-identity-service,398.6,1.14,12
xcommerce-inventory-service,379.3,2.16,12
xcommerce-notification-service,374.6,0.54,12
xcommerce-catalog-service,421.9,0.09,12
xcommerce-cart-service,423.9,0.14,12
xcommerce-grafana,260.9,1.08,12
xcommerce-kafka,876.8,1.94,12
xcommerce-db-inventory,46.4,0.01,12
xcommerce-db-orders,127.1,0.00,12
xcommerce-db-catalog,44.6,0.00,12
xcommerce-db-identity,42.1,0.00,12
xcommerce-db-notification,45.0,0.00,12
xcommerce-db-cart,44.9,0.00,12
xcommerce-prometheus,89.6,0.53,12
xcommerce-jaeger,2.5,0.10,12
xcommerce-zookeeper,138.7,0.16,12
xcommerce-gateway,458.1,0.08,13
xcommerce-kafdrop,388.8,0.22,13
xcommerce-order-service,426.8,0.38,13
xcommerce-identity-service,398.6,0.17,13
xcommerce-inventory-service,379.4,0.81,13
xcommerce-notification-service,374.8,0.72,13
xcommerce-catalog-service,421.9,0.08,13
xcommerce-cart-service,423.9,0.09,13
xcommerce-grafana,260.9,0.77,13
xcommerce-kafka,876.8,2.20,13
xcommerce-db-inventory,46.4,0.29,13
xcommerce-db-orders,127.1,0.47,13
xcommerce-db-catalog,44.6,0.73,13
xcommerce-db-identity,42.1,0.50,13
xcommerce-db-notification,45.0,0.94,13
xcommerce-db-cart,44.9,0.90,13
xcommerce-prometheus,89.6,0.00,13
xcommerce-jaeger,2.5,0.01,13
xcommerce-zookeeper,138.7,0.17,13
xcommerce-gateway,458.1,0.14,14
xcommerce-kafdrop,388.8,0.14,14
xcommerce-order-service,426.8,0.26,14
xcommerce-identity-service,398.8,0.85,14
xcommerce-inventory-service,379.5,2.26,14
xcommerce-notification-service,374.8,0.57,14
xcommerce-catalog-service,421.9,0.08,14
xcommerce-cart-service,423.9,0.11,14
xcommerce-grafana,260.9,0.78,14
xcommerce-kafka,876.8,2.20,14
xcommerce-db-inventory,46.4,0.02,14
xcommerce-db-orders,127.1,0.00,14
xcommerce-db-catalog,44.6,0.00,14
xcommerce-db-identity,42.1,0.00,14
xcommerce-db-notification,45.0,0.00,14
xcommerce-db-cart,44.9,0.00,14
xcommerce-prometheus,89.6,0.21,14
xcommerce-jaeger,2.5,0.02,14
xcommerce-zookeeper,138.7,0.20,14
xcommerce-gateway,458.1,0.07,15
xcommerce-kafdrop,388.8,0.07,15
xcommerce-order-service,426.8,0.12,15
xcommerce-identity-service,398.6,0.10,15
xcommerce-inventory-service,379.4,0.79,15
xcommerce-notification-service,374.6,0.20,15
xcommerce-catalog-service,421.9,0.12,15
xcommerce-cart-service,423.9,0.39,15
xcommerce-grafana,260.9,0.38,15
xcommerce-kafka,876.8,0.94,15
xcommerce-db-inventory,46.4,0.91,15
xcommerce-db-orders,127.1,0.97,15
xcommerce-db-catalog,44.6,0.86,15
xcommerce-db-identity,42.1,0.87,15
xcommerce-db-notification,45.0,0.90,15
xcommerce-db-cart,44.9,0.89,15
xcommerce-prometheus,89.6,0.12,15
xcommerce-jaeger,2.5,0.14,15
xcommerce-zookeeper,138.7,0.12,15
xcommerce-gateway,458.1,0.52,16
xcommerce-kafdrop,388.8,0.07,16
xcommerce-order-service,426.8,0.13,16
xcommerce-identity-service,398.6,0.23,16
xcommerce-inventory-service,379.4,0.29,16
xcommerce-notification-service,374.8,0.40,16
xcommerce-catalog-service,421.9,0.04,16
xcommerce-cart-service,423.9,0.04,16
xcommerce-grafana,260.9,0.90,16
xcommerce-kafka,876.8,1.10,16
xcommerce-db-inventory,46.4,0.00,16
xcommerce-db-orders,127.1,0.00,16
xcommerce-db-catalog,44.6,0.00,16
xcommerce-db-identity,42.1,0.00,16
xcommerce-db-notification,45.0,0.00,16
xcommerce-db-cart,44.9,0.00,16
xcommerce-prometheus,89.6,0.14,16
xcommerce-jaeger,2.5,0.15,16
xcommerce-zookeeper,138.7,0.12,16
xcommerce-gateway,458.1,0.17,17
xcommerce-kafdrop,388.8,0.12,17
xcommerce-order-service,426.8,0.44,17
xcommerce-identity-service,398.6,0.17,17
xcommerce-inventory-service,379.4,0.70,17
xcommerce-notification-service,374.6,1.43,17
xcommerce-catalog-service,421.9,0.96,17
xcommerce-cart-service,423.9,1.32,17
xcommerce-grafana,260.9,0.57,17
xcommerce-kafka,876.8,1.47,17
xcommerce-db-inventory,46.4,0.00,17
xcommerce-db-orders,127.1,0.00,17
xcommerce-db-catalog,44.6,0.00,17
xcommerce-db-identity,42.1,0.00,17
xcommerce-db-notification,45.0,0.00,17
xcommerce-db-cart,44.9,0.00,17
xcommerce-prometheus,89.6,0.56,17
xcommerce-jaeger,2.5,0.41,17
xcommerce-zookeeper,138.7,0.18,17
xcommerce-gateway,458.1,1.88,18
xcommerce-kafdrop,388.8,0.11,18
xcommerce-order-service,426.8,1.07,18
xcommerce-identity-service,398.7,1.57,18
xcommerce-inventory-service,379.4,0.48,18
xcommerce-notification-service,374.6,2.03,18
xcommerce-catalog-service,421.9,0.96,18
xcommerce-cart-service,423.9,0.98,18
xcommerce-grafana,260.9,0.64,18
xcommerce-kafka,876.8,2.97,18
xcommerce-db-inventory,46.4,0.00,18
xcommerce-db-orders,127.1,0.02,18
xcommerce-db-catalog,44.6,0.01,18
xcommerce-db-identity,42.1,0.00,18
xcommerce-db-notification,45.0,0.01,18
xcommerce-db-cart,44.9,0.03,18
xcommerce-prometheus,89.6,0.17,18
xcommerce-jaeger,2.5,0.26,18
xcommerce-zookeeper,138.7,0.20,18
xcommerce-gateway,458.1,0.32,19
xcommerce-kafdrop,388.8,0.15,19
xcommerce-order-service,426.8,0.36,19
xcommerce-identity-service,398.7,1.10,19
xcommerce-inventory-service,379.4,2.16,19
xcommerce-notification-service,374.6,0.60,19
xcommerce-catalog-service,421.9,0.13,19
xcommerce-cart-service,423.9,0.16,19
xcommerce-grafana,260.9,0.94,19
xcommerce-kafka,876.8,1.90,19
xcommerce-db-inventory,46.4,0.00,19
xcommerce-db-orders,127.1,0.00,19
xcommerce-db-catalog,44.6,0.00,19
xcommerce-db-identity,42.1,0.03,19
xcommerce-db-notification,45.0,0.00,19
xcommerce-db-cart,44.9,0.00,19
xcommerce-prometheus,89.8,0.55,19
xcommerce-jaeger,2.5,0.14,19
xcommerce-zookeeper,138.1,0.19,19
xcommerce-gateway,458.1,0.05,20
xcommerce-kafdrop,388.8,0.15,20
xcommerce-order-service,426.8,0.26,20
xcommerce-identity-service,398.7,0.23,20
xcommerce-inventory-service,379.4,0.84,20
xcommerce-notification-service,374.6,0.45,20
xcommerce-catalog-service,421.9,0.09,20
xcommerce-cart-service,423.9,0.08,20
xcommerce-grafana,260.9,0.74,20
xcommerce-kafka,876.8,2.01,20
xcommerce-db-inventory,46.4,0.00,20
xcommerce-db-orders,127.1,0.00,20
xcommerce-db-catalog,44.6,0.00,20
xcommerce-db-identity,42.1,0.00,20
xcommerce-db-notification,45.0,0.02,20
xcommerce-db-cart,44.9,0.02,20
xcommerce-prometheus,89.8,0.00,20
xcommerce-jaeger,2.5,0.03,20
xcommerce-zookeeper,138.1,0.25,20
xcommerce-gateway,458.1,0.04,21
xcommerce-kafdrop,388.8,0.14,21
xcommerce-order-service,426.8,0.23,21
xcommerce-identity-service,398.7,0.97,21
xcommerce-inventory-service,380.2,3.64,21
xcommerce-notification-service,374.6,0.70,21
xcommerce-catalog-service,421.9,0.07,21
xcommerce-cart-service,423.9,0.16,21
xcommerce-grafana,260.9,0.75,21
xcommerce-kafka,876.8,1.82,21
xcommerce-db-inventory,46.4,0.02,21
xcommerce-db-orders,127.1,0.00,21
xcommerce-db-catalog,44.6,0.00,21
xcommerce-db-identity,42.1,0.00,21
xcommerce-db-notification,45.0,0.00,21
xcommerce-db-cart,44.9,0.04,21
xcommerce-prometheus,89.8,0.53,21
xcommerce-jaeger,2.5,0.02,21
xcommerce-zookeeper,138.1,0.20,21
xcommerce-gateway,458.1,0.05,22
xcommerce-kafdrop,388.8,0.15,22
xcommerce-order-service,426.8,0.27,22
xcommerce-identity-service,398.9,0.11,22
xcommerce-inventory-service,379.4,0.99,22
xcommerce-notification-service,374.6,3.49,22
xcommerce-catalog-service,421.9,0.06,22
xcommerce-cart-service,423.9,0.68,22
xcommerce-grafana,260.9,0.85,22
xcommerce-kafka,876.8,1.76,22
xcommerce-db-inventory,46.4,0.01,22
xcommerce-db-orders,127.1,0.00,22
xcommerce-db-catalog,44.6,0.00,22
xcommerce-db-identity,42.1,0.01,22
xcommerce-db-notification,45.0,0.03,22
xcommerce-db-cart,44.9,0.00,22
xcommerce-prometheus,89.8,0.17,22
xcommerce-jaeger,2.5,0.14,22
xcommerce-zookeeper,138.1,0.15,22
xcommerce-gateway,458.1,0.69,23
xcommerce-kafdrop,388.8,0.13,23
xcommerce-order-service,426.8,0.27,23
xcommerce-identity-service,398.8,0.46,23
xcommerce-inventory-service,379.4,0.46,23
xcommerce-notification-service,374.6,0.78,23
xcommerce-catalog-service,421.9,0.06,23
xcommerce-cart-service,423.9,0.08,23
xcommerce-grafana,260.9,0.69,23
xcommerce-kafka,877.3,1.68,23
xcommerce-db-inventory,46.4,0.00,23
xcommerce-db-orders,127.1,0.01,23
xcommerce-db-catalog,44.6,0.00,23
xcommerce-db-identity,42.1,0.03,23
xcommerce-db-notification,45.0,0.00,23
xcommerce-db-cart,44.9,0.00,23
xcommerce-prometheus,89.8,0.18,23
xcommerce-jaeger,2.5,0.22,23
xcommerce-zookeeper,138.1,0.18,23
xcommerce-gateway,458.1,0.07,24
xcommerce-kafdrop,388.8,0.12,24
xcommerce-order-service,426.8,0.58,24
xcommerce-identity-service,398.8,0.07,24
xcommerce-inventory-service,379.4,0.62,24
xcommerce-notification-service,374.6,1.40,24
xcommerce-catalog-service,421.9,0.97,24
xcommerce-cart-service,423.9,1.18,24
xcommerce-grafana,260.9,0.78,24
xcommerce-kafka,876.8,1.47,24
xcommerce-db-inventory,46.4,0.01,24
xcommerce-db-orders,127.1,0.00,24
xcommerce-db-catalog,44.6,0.00,24
xcommerce-db-identity,42.1,0.01,24
xcommerce-db-notification,45.0,0.00,24
xcommerce-db-cart,44.9,0.00,24
xcommerce-prometheus,89.9,0.69,24
xcommerce-jaeger,2.5,0.23,24
xcommerce-zookeeper,138.1,0.17,24
