container,mem_mb,cpu_pct,sample
xcommerce-gateway,424.5,16.90,1
xcommerce-kafdrop,366.0,0.10,1
xcommerce-order-service,400.0,1.11,1
xcommerce-identity-service,356.3,0.15,1
xcommerce-inventory-service,370.3,0.56,1
xcommerce-catalog-service,387.2,25.58,1
xcommerce-notification-service,341.3,3.58,1
xcommerce-cart-service,365.5,0.25,1
xcommerce-grafana,257.8,0.85,1
xcommerce-kafka,409.6,2.17,1
xcommerce-db-identity,41.8,0.00,1
xcommerce-db-cart,43.9,0.01,1
xcommerce-db-inventory,44.3,0.00,1
xcommerce-db-notification,42.7,0.01,1
xcommerce-db-catalog,48.4,5.31,1
xcommerce-db-orders,45.4,0.00,1
xcommerce-prometheus,75.7,0.33,1
xcommerce-jaeger,1.1,0.64,1
xcommerce-zookeeper,116.9,0.15,1
xcommerce-gateway,424.5,19.95,2
xcommerce-kafdrop,366.0,0.13,2
xcommerce-order-service,400.1,1.24,2
xcommerce-identity-service,356.4,1.75,2
xcommerce-inventory-service,370.5,4.11,2
xcommerce-catalog-service,387.0,13.69,2
xcommerce-notification-service,341.4,1.38,2
xcommerce-cart-service,365.5,2.01,2
xcommerce-grafana,257.8,0.74,2
xcommerce-kafka,409.7,1.39,2
xcommerce-db-identity,41.8,0.00,2
xcommerce-db-cart,43.9,0.00,2
xcommerce-db-inventory,44.3,0.00,2
xcommerce-db-notification,42.7,0.00,2
xcommerce-db-catalog,48.4,4.79,2
xcommerce-db-orders,45.4,0.02,2
xcommerce-prometheus,75.7,0.39,2
xcommerce-jaeger,1.1,0.91,2
xcommerce-zookeeper,116.9,0.12,2
xcommerce-gateway,424.5,13.81,3
xcommerce-kafdrop,366.0,0.11,3
xcommerce-order-service,400.2,1.72,3
xcommerce-identity-service,356.5,1.68,3
xcommerce-inventory-service,370.7,3.63,3
xcommerce-catalog-service,387.0,12.42,3
xcommerce-notification-service,341.5,2.15,3
xcommerce-cart-service,365.7,1.79,3
xcommerce-grafana,257.8,0.46,3
xcommerce-kafka,413.2,3.58,3
xcommerce-db-identity,41.8,1.08,3
xcommerce-db-cart,43.9,1.07,3
xcommerce-db-inventory,44.3,1.11,3
xcommerce-db-notification,42.7,1.06,3
xcommerce-db-catalog,48.3,4.96,3
xcommerce-db-orders,45.4,1.10,3
xcommerce-prometheus,75.9,0.45,3
xcommerce-jaeger,1.1,0.68,3
xcommerce-zookeeper,117.5,1.63,3
xcommerce-gateway,424.6,14.93,4
xcommerce-kafdrop,366.0,0.11,4
xcommerce-order-service,400.3,0.76,4
xcommerce-identity-service,356.5,0.27,4
xcommerce-inventory-service,370.7,1.76,4
xcommerce-catalog-service,387.0,21.90,4
xcommerce-notification-service,341.5,0.58,4
xcommerce-cart-service,365.7,0.45,4
xcommerce-grafana,257.8,0.60,4
xcommerce-kafka,408.1,0.94,4
xcommerce-db-identity,41.8,0.01,4
xcommerce-db-cart,43.9,0.01,4
xcommerce-db-inventory,44.3,0.01,4
xcommerce-db-notification,42.7,0.01,4
xcommerce-db-catalog,48.4,4.20,4
xcommerce-db-orders,45.4,0.00,4
xcommerce-prometheus,75.7,0.22,4
xcommerce-jaeger,1.1,0.92,4
xcommerce-zookeeper,117.0,0.16,4
xcommerce-gateway,424.6,24.39,5
xcommerce-kafdrop,366.0,0.10,5
xcommerce-order-service,400.4,7.52,5
xcommerce-identity-service,356.7,2.09,5
xcommerce-inventory-service,370.8,0.79,5
xcommerce-catalog-service,387.1,11.91,5
xcommerce-notification-service,341.6,0.73,5
xcommerce-cart-service,365.8,0.10,5
xcommerce-grafana,257.8,0.67,5
xcommerce-kafka,408.1,1.58,5
xcommerce-db-identity,41.8,0.00,5
xcommerce-db-cart,43.9,0.00,5
xcommerce-db-inventory,44.3,0.00,5
xcommerce-db-notification,42.7,0.00,5
xcommerce-db-catalog,48.4,4.33,5
xcommerce-db-orders,45.4,0.00,5
xcommerce-prometheus,75.7,0.24,5
xcommerce-jaeger,1.1,0.63,5
xcommerce-zookeeper,117.0,0.15,5
xcommerce-gateway,424.7,20.50,6
xcommerce-kafdrop,366.0,0.12,6
xcommerce-order-service,400.7,0.51,6
xcommerce-identity-service,356.9,0.15,6
xcommerce-inventory-service,371.0,0.67,6
